baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Kingdom	Phylum	Class	Order	Family	Genus	newp	Treatment	tissue	otu
Otu00087	25.2076936150526	3.54927059032623	0.897102476789154	3.95637140923914	7.60968201043122e-05	0.0636930384273093	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_1	6.4e-02	RPS	D12_feces	Otu00087
Otu00043	19.0636334149362	-3.95975363466939	1.26805462938378	-3.12269956113299	0.00179200572634243	0.046886806417715	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	4.7e-02	Control	D15_feces	Otu00043
Otu00049	93.5459006690845	3.73846676022598	1.20531578063685	3.10164922776562	0.0019244584723689	0.046886806417715	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	4.7e-02	RPS	D15_feces	Otu00049
Otu00057	85.1600831704737	3.39151174003933	1.09108819040435	3.10837544560213	0.00188118921419415	0.046886806417715	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	4.7e-02	RPS	D15_feces	Otu00057
Otu00069	10.0962715136915	-5.72561050880025	1.30536979528684	-4.38619809457298	1.15349078619229e-05	0.00103045176899845	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	1.0e-03	Control	D15_feces	Otu00069
Otu00078	81.3344469122187	9.81486207005735	1.95027402581207	5.03255539486076	4.83984691340578e-07	0.000129707897279275	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	0.0e+00	RPS	D15_feces	Otu00078
Otu000871	23.7640110582406	3.91253397685188	1.37534326886401	2.8447690590608	0.00444436328948953	0.0992574467985995	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_1	9.9e-02	RPS	D15_feces	Otu00087
Otu00180	25.7877650685025	3.03422432333607	0.922260499298854	3.28998620849839	0.0010019229339625	0.046886806417715	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	4.7e-02	RPS	D15_feces	Otu00180
Otu00183	7.35113490849661	-5.23810663776472	1.53897443288318	-3.40363460616524	0.000664956406250877	0.0445520792188088	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	4.5e-02	Control	D15_feces	Otu00183
Otu00223	12.7073832018289	7.14006020594914	1.57459209194615	4.53454595794662	5.77275318665686e-06	0.000773548927012019	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	1.0e-03	RPS	D15_feces	Otu00223
Otu00455	1.91824192797218	4.15357703866772	1.31257258499716	3.16445512129655	0.00155373622073709	0.046886806417715	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	NA	4.7e-02	RPS	D15_feces	Otu00455
Otu00576	2.45618407174199	4.53176859739489	1.44277399679969	3.14101072478925	0.00168365866838866	0.046886806417715	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	NA	4.7e-02	RPS	D15_feces	Otu00576
Otu00633	5.09523757019083	-6.08194717253374	1.89216357228722	-3.21428192657888	0.00130771205987445	0.046886806417715	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	4.7e-02	Control	D15_feces	Otu00633
Otu00006	622.509216169187	1.60481151762732	0.67914439191805	2.36299016339513	0.0181281507623515	0.0853533765060718	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	8.5e-02	RPS	D19_feces	Otu00006
Otu00008	245.519762250961	1.52807511994815	0.652127186345989	2.34321640309199	0.019118290548765	0.0867142135162741	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	8.7e-02	RPS	D19_feces	Otu00008
Otu00011	157.051899639992	-3.84031121425866	1.2453697147741	-3.08367159462783	0.00204463159938885	0.0213822836202306	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	2.1e-02	Control	D19_feces	Otu00011
Otu00013	881.52809240681	1.50514059559569	0.507817589019995	2.96393946988005	0.00303728024455599	0.0286010556362356	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus	2.9e-02	RPS	D19_feces	Otu00013
Otu00014	93.2863892132346	-8.05785662079801	0.944303811739191	-8.53311881263858	1.42454254940254e-17	4.8291992424746e-15	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	0.0e+00	Control	D19_feces	Otu00014
Otu00018	351.43751084579	-2.72176469376209	0.701705957435263	-3.87878236592168	0.000104980622084648	0.00444855386083698	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	NA	4.0e-03	Control	D19_feces	Otu00018
Otu00025	137.900772740441	1.59176667264346	0.557052412902583	2.8574809762503	0.00427018230377961	0.0354977652369646	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	3.5e-02	RPS	D19_feces	Otu00025
Otu00030	320.62685184589	-2.6237592188186	0.723781776708269	-3.62506946603623	0.000288883789965203	0.00612072529988774	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales_unclassified	NA	6.0e-03	Control	D19_feces	Otu00030
Otu00032	214.284990564613	3.19958398590005	0.943891403993064	3.38977976954176	0.000699487933231662	0.0107784731529788	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	1.1e-02	RPS	D19_feces	Otu00032
Otu00033	80.8390712601569	-2.37326532165686	0.711535918362417	-3.33541183292457	0.000851731576899005	0.0117558305167421	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae_UCG-003	1.2e-02	Control	D19_feces	Otu00033
Otu00036	12.7802539429235	-4.10890480351508	1.3794922724245	-2.97856311749653	0.00289603376140203	0.0280501555747225	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	2.8e-02	Control	D19_feces	Otu00036
Otu00038	263.273331981687	-2.38062957520553	0.756996909086038	-3.14483394401146	0.00166181127258199	0.0197263474662682	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-002	2.0e-02	Control	D19_feces	Otu00038
Otu00040	8.12834668349855	-4.44220530180514	1.22275771049338	-3.63293992234384	0.000280210277458433	0.00612072529988774	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_1	6.0e-03	Control	D19_feces	Otu00040
Otu00041	142.215154923166	1.08617540451141	0.440204541289691	2.4674334374861	0.013608551974335	0.0688552107358146	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	6.9e-02	RPS	D19_feces	Otu00041
Otu000431	200.944614236388	4.43656300619606	1.62125540206357	2.73649851870909	0.00620968745340741	0.0457626966675024	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	4.6e-02	RPS	D19_feces	Otu00043
Otu00045	41.1382860722316	-1.73047823783984	0.755930581743615	-2.28920257975058	0.0220675847866069	0.0912306249104847	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA	9.1e-02	Control	D19_feces	Otu00045
Otu00047	231.394098119858	2.12377535386813	0.618479143569505	3.4338673760459	0.000595035256573371	0.0100858475989186	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Mitsuokella	1.0e-02	RPS	D19_feces	Otu00047
Otu00048	209.562412032766	-2.55161445142792	0.798510450175271	-3.19546782495814	0.00139604347745935	0.0175281014392118	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae_RC9_gut_group	1.8e-02	Control	D19_feces	Otu00048
Otu000491	73.39792576326	4.41237007222605	1.31624466380789	3.35224156537972	0.000801600420918182	0.0117558305167421	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	1.2e-02	RPS	D19_feces	Otu00049
Otu000571	144.725342862102	3.64140759058021	1.17755669630878	3.09234162736684	0.00198584165580351	0.0213822836202306	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_7	2.1e-02	RPS	D19_feces	Otu00057
Otu00066	71.0126328969892	-2.15157408845904	0.698936092717427	-3.07835596255136	0.00208146123736758	0.0213822836202306	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales_unclassified	NA	2.1e-02	Control	D19_feces	Otu00066
Otu00070	12.5161504173021	-3.0807770282969	1.07159506613519	-2.87494514080587	0.0040409770267021	0.0354724555871093	Bacteria	Spirochaetae	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema_2	3.5e-02	Control	D19_feces	Otu00070
Otu00083	31.1888812707933	-2.26749058358264	0.883794276507261	-2.56563166774934	0.0102988125705469	0.0572343846133671	Bacteria	Spirochaetae	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema_2	5.7e-02	Control	D19_feces	Otu00083
Otu000872	11.7994588960301	5.25555702196693	1.39091516759743	3.77848854078212	0.0001577831115069	0.0048625886182581	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_1	5.0e-03	RPS	D19_feces	Otu00087
Otu00098	10.3766189866329	-2.44040043868524	0.779581453333191	-3.13039827750009	0.00174569446604143	0.0197263474662682	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	2.0e-02	Control	D19_feces	Otu00098
Otu00107	37.8632641195536	-3.01920149537724	0.791728023516183	-3.81343265073341	0.000137049885300662	0.00464599111169244	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	5.0e-03	Control	D19_feces	Otu00107
Otu00110	17.7460807303739	2.08036159702586	0.88831258000684	2.3419251779704	0.01918456051245	0.0867142135162741	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	8.7e-02	RPS	D19_feces	Otu00110
Otu00112	23.167779517565	-2.39816451409335	0.839760647249874	-2.85577148911071	0.00429324004340869	0.0354977652369646	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	3.5e-02	Control	D19_feces	Otu00112
Otu00119	132.442874475254	7.76683500784164	1.69033506512808	4.5948493692599	4.33061985777795e-06	0.000322213661388119	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Succiniclasticum	0.0e+00	RPS	D19_feces	Otu00119
Otu00126	16.4746140887803	-3.85519223239219	1.04347642320178	-3.6945657292026	0.000220262912533196	0.00574377902682718	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-005	6.0e-03	Control	D19_feces	Otu00126
Otu00138	12.96050690227	-1.85710754352018	0.734329634811394	-2.5289835184129	0.0114393398863513	0.0615545431979855	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-014	6.2e-02	Control	D19_feces	Otu00138
